sku,description
Moldova-Flag-3X5,"Our world flags conform to all official specifications. Emblems and designs are executed with the highest possible degree of accuracy in regard to detail, color shades, placement and proportion to flag size. Ideal for indoor or outdoor display, our world flags are made of Nyl-Glo 100% heavyweight nylon, specially treated to minimize sun and chemical deterioration. Our world flags are extremely durable, fast-drying, and boast brilliant, fast colors. These flags are also finished with strong canvas headings and large grommets."
Moldova-Flag-4X6,"Our world flags conform to all official specifications. Emblems and designs are executed with the highest possible degree of accuracy in regard to detail, color shades, placement and proportion to flag size. Ideal for indoor or outdoor display, our world flags are made of Nyl-Glo 100% heavyweight nylon, specially treated to minimize sun and chemical deterioration. Our world flags are extremely durable, fast-drying, and boast brilliant, fast colors. These flags are also finished with strong canvas headings and large grommets."
Moldova-Flag-5X8,"Our world flags conform to all official specifications. Emblems and designs are executed with the highest possible degree of accuracy in regard to detail, color shades, placement and proportion to flag size. Ideal for indoor or outdoor display, our world flags are made of Nyl-Glo 100% heavyweight nylon, specially treated to minimize sun and chemical deterioration. Our world flags are extremely durable, fast-drying, and boast brilliant, fast colors. These flags are also finished with strong canvas headings and large grommets."
R1527,"The greek term ""Mole Labe"" translates to ""come and take them,"" so let everyone know where you stand with this classic 3' X 5' flag available in lightweight polyester or heavier nylon. A classical expression of defiance!"
Monaco-Flag-2X3,"Our world flags conform to all official specifications. Emblems and designs are executed with the highest possible degree of accuracy in regard to detail, color shades, placement and proportion to flag size. Ideal for indoor or outdoor display, our world flags are made of Nyl-Glo 100% heavyweight nylon, specially treated to minimize sun and chemical deterioration. Our world flags are extremely durable, fast-drying, and boast brilliant, fast colors. These flags are also finished with strong canvas headings and large grommets."
Monaco-Flag-3X5,"Our world flags conform to all official specifications. Emblems and designs are executed with the highest possible degree of accuracy in regard to detail, color shades, placement and proportion to flag size. Ideal for indoor or outdoor display, our world flags are made of Nyl-Glo 100% heavyweight nylon, specially treated to minimize sun and chemical deterioration. Our world flags are extremely durable, fast-drying, and boast brilliant, fast colors. These flags are also finished with strong canvas headings and large grommets."
Monaco-Flag-4X6,"Our world flags conform to all official specifications. Emblems and designs are executed with the highest possible degree of accuracy in regard to detail, color shades, placement and proportion to flag size. Ideal for indoor or outdoor display, our world flags are made of Nyl-Glo 100% heavyweight nylon, specially treated to minimize sun and chemical deterioration. Our world flags are extremely durable, fast-drying, and boast brilliant, fast colors. These flags are also finished with strong canvas headings and large grommets."
Monaco-Flag-5X8,"Our world flags conform to all official specifications. Emblems and designs are executed with the highest possible degree of accuracy in regard to detail, color shades, placement and proportion to flag size. Ideal for indoor or outdoor display, our world flags are made of Nyl-Glo 100% heavyweight nylon, specially treated to minimize sun and chemical deterioration. Our world flags are extremely durable, fast-drying, and boast brilliant, fast colors. These flags are also finished with strong canvas headings and large grommets."
Mongolia-Flag-2X3,"Our world flags conform to all official specifications. Emblems and designs are executed with the highest possible degree of accuracy in regard to detail, color shades, placement and proportion to flag size. Ideal for indoor or outdoor display, our world flags are made of Nyl-Glo 100% heavyweight nylon, specially treated to minimize sun and chemical deterioration. Our world flags are extremely durable, fast-drying, and boast brilliant, fast colors. These flags are also finished with strong canvas headings and large grommets."
Mongolia-Flag-3X5,"Our world flags conform to all official specifications. Emblems and designs are executed with the highest possible degree of accuracy in regard to detail, color shades, placement and proportion to flag size. Ideal for indoor or outdoor display, our world flags are made of Nyl-Glo 100% heavyweight nylon, specially treated to minimize sun and chemical deterioration. Our world flags are extremely durable, fast-drying, and boast brilliant, fast colors. These flags are also finished with strong canvas headings and large grommets."
Mongolia-Flag-4X6,"Our world flags conform to all official specifications. Emblems and designs are executed with the highest possible degree of accuracy in regard to detail, color shades, placement and proportion to flag size. Ideal for indoor or outdoor display, our world flags are made of Nyl-Glo 100% heavyweight nylon, specially treated to minimize sun and chemical deterioration. Our world flags are extremely durable, fast-drying, and boast brilliant, fast colors. These flags are also finished with strong canvas headings and large grommets."
Mongolia-Flag-5X8,"Our world flags conform to all official specifications. Emblems and designs are executed with the highest possible degree of accuracy in regard to detail, color shades, placement and proportion to flag size. Ideal for indoor or outdoor display, our world flags are made of Nyl-Glo 100% heavyweight nylon, specially treated to minimize sun and chemical deterioration. Our world flags are extremely durable, fast-drying, and boast brilliant, fast colors. These flags are also finished with strong canvas headings and large grommets."
EF022390a,"Beautifully printed on silk-like material, these premium classroom-flags offer the highest quality in a mounted flag. Each is carefully hem-stitched on all four sides for longer lasting beauty. These flags are mounted on a black wood staff with a gold plastic spear. All are are made in America and meet official requirements for classroom-flags. Bracket sold seperately."
Montana-State-Flag-2X3,"Ideal for outdoor or indoor display, these state flags are made of Nyl-Glo 100% heavyweight nylon, a 200 denier bunting specially treated to minimize deterioration due to sun, wind and rain. America's first choice for flags, they are extremely durable, fast drying, and boast brilliant, fast colors. These flags are finished with strong canvas headings, reinforced stitching and heavy duty brass grommets. They come with a 1-year colorfast guarantee and will absolutely exceed your expectations. <b>These flags are Made in America and are on sale now!</b>"
Montana-State-Flag-3X5,"Ideal for outdoor or indoor display, these state flags are made of Nyl-Glo 100% heavyweight nylon, a 200 denier bunting specially treated to minimize deterioration due to sun, wind and rain. America's first choice for flags, they are extremely durable, fast drying, and boast brilliant, fast colors. These flags are finished with strong canvas headings, reinforced stitching and heavy duty brass grommets. They come with a 1-year colorfast guarantee and will absolutely exceed your expectations. <b>These flags are Made in America and are on sale now!</b>"
Montana-State-Flag-4X6,"Ideal for outdoor or indoor display, these state flags are made of Nyl-Glo 100% heavyweight nylon, a 200 denier bunting specially treated to minimize deterioration due to sun, wind and rain. America's first choice for flags, they are extremely durable, fast drying, and boast brilliant, fast colors. These flags are finished with strong canvas headings, reinforced stitching and heavy duty brass grommets. They come with a 1-year colorfast guarantee and will absolutely exceed your expectations. <b>These flags are Made in America and are on sale now!</b>"
Montana-State-Flag-5X8,"Ideal for outdoor or indoor display, these state flags are made of Nyl-Glo 100% heavyweight nylon, a 200 denier bunting specially treated to minimize deterioration due to sun, wind and rain. America's first choice for flags, they are extremely durable, fast drying, and boast brilliant, fast colors. These flags are finished with strong canvas headings, reinforced stitching and heavy duty brass grommets. They come with a 1-year colorfast guarantee and will absolutely exceed your expectations. <b>These flags are Made in America and are on sale now!</b>"
Montana-State-Flag-6X10,"Ideal for outdoor or indoor display, these state flags are made of Nyl-Glo 100% heavyweight nylon, a 200 denier bunting specially treated to minimize deterioration due to sun, wind and rain. America's first choice for flags, they are extremely durable, fast drying, and boast brilliant, fast colors. These flags are finished with strong canvas headings, reinforced stitching and heavy duty brass grommets. They come with a 1-year colorfast guarantee and will absolutely exceed your expectations. <b>These flags are Made in America and are on sale now!</b>"
montana-state-flag-indoor35,"Our 100% nylon taffeta state flags are manufactured with premium material to give each flag a full, rich, lustrous sheen. All the state flags featured on AmericanFlags.com are designed to official state flag specifications and are finished with heavy duty color matched thread, flannel lined pole hems with velcro mounting tabs, and luxurious golden rayon fringe.  This beautiful flag is the perfect addition to any office, lobby, school or church and is exceptionally weather resistant when used outdoors in parades or events.  Whatever your use, this state flag will look elegant for years. <b>These state flags are Made in America and are on sale now!</b>"
montana-state-flag-indoor46,"Our 100% nylon taffeta state flags are manufactured with premium material to give each flag a full, rich, lustrous sheen. All the state flags featured on AmericanFlags.com are designed to official state flag specifications and are finished with heavy duty color matched thread, flannel lined pole hems with velcro mounting tabs, and luxurious golden rayon fringe.  This beautiful flag is the perfect addition to any office, lobby, school or church and is exceptionally weather resistant when used outdoors in parades or events.  Whatever your use, this state flag will look elegant for years. <b>These state flags are Made in America and are on sale now!</b>"
EF022390,"Beautifully printed on silk-like material, these flags offer the highest quality in a mounted flag. Each is carefully hem-stitched on all four sides for longer lasting beauty. These flags are mounted on a black wood staff with a gold plastic spear. All are are made in America and ready to ship!"
EF020925,"Beautifully printed on silk-like material, these flags offer the highest quality in a mounted flag. Each is carefully hem-stitched on all four sides for longer lasting beauty. These flags are mounted on a 10"" black plastic staff with a gold plastic spear. All are made in America and ready to ship!"
EF020926,"Beautifully printed on silk-like material, these flags offer the highest quality in a mounted flag. Each is carefully hem-stitched on all four sides for longer lasting beauty. These flags are mounted on a 18"" black wood staff with a gold plastic spear. All are made in America and ready to ship!"
Morocco-Flag-2X3,"Our world flags conform to all official specifications. Emblems and designs are executed with the highest possible degree of accuracy in regard to detail, color shades, placement and proportion to flag size. Ideal for indoor or outdoor display, our world flags are made of Nyl-Glo 100% heavyweight nylon, specially treated to minimize sun and chemical deterioration. Our world flags are extremely durable, fast-drying, and boast brilliant, fast colors. These flags are also finished with strong canvas headings and large grommets."
Morocco-Flag-3X5,"Our world flags conform to all official specifications. Emblems and designs are executed with the highest possible degree of accuracy in regard to detail, color shades, placement and proportion to flag size. Ideal for indoor or outdoor display, our world flags are made of Nyl-Glo 100% heavyweight nylon, specially treated to minimize sun and chemical deterioration. Our world flags are extremely durable, fast-drying, and boast brilliant, fast colors. These flags are also finished with strong canvas headings and large grommets."
Morocco-Flag-4X6,"Our world flags conform to all official specifications. Emblems and designs are executed with the highest possible degree of accuracy in regard to detail, color shades, placement and proportion to flag size. Ideal for indoor or outdoor display, our world flags are made of Nyl-Glo 100% heavyweight nylon, specially treated to minimize sun and chemical deterioration. Our world flags are extremely durable, fast-drying, and boast brilliant, fast colors. These flags are also finished with strong canvas headings and large grommets."
Morocco-Flag-5X8,"Our world flags conform to all official specifications. Emblems and designs are executed with the highest possible degree of accuracy in regard to detail, color shades, placement and proportion to flag size. Ideal for indoor or outdoor display, our world flags are made of Nyl-Glo 100% heavyweight nylon, specially treated to minimize sun and chemical deterioration. Our world flags are extremely durable, fast-drying, and boast brilliant, fast colors. These flags are also finished with strong canvas headings and large grommets."
EF050550,"<P align=""justify"">Our Freedom indoor state flag sets are the perfect compliment to our <a href=""http://www.americanflags.com/vaprusflset.html"">Freedom American flag presentation sets</a> and come with everything you need to create the perfect display in minutes. Each state flag set features a premium nylon state flag, available fringed or unfringed. Each set includes an 8-foot 2-piece oak pole joined with brass fittings, topped with an ABS gold gilded spear, which fits neatly into our best-selling Regent stand. Our state flag sets are finished with a gold cord and tassel to create the perfect look for any lobby, board room, school or church. These are exceptional quality flag display sets designed to impress and designed to last.<p><b>These great state flag sets are on sale now!</b>

<i>Looking for a matching <a href=""http://www.americanflags.com/vaprusflset.html"">mounted indoor United States flag set</a>?</i>
"
airforcemounted,"These handsome indoor Air Force flag sets are crafted with respect, honor and gratitude. Each comes with a 3' X 5' Single-Reverse Colonial Nyl-Glo Air Force Flag finished with a flannel pole sleeve and gold fringe. The sturdy oak pole is topped with a spear ornament and anchored firmly in a liberty style floor stand. A gold cord and tassle finishes this beautiful set, creating the perfect addition to any lobby, office, auditorium, church or school."
AF559,"When your US Flag is displayed on a short staff or on an indoor flag set where it cannot be lowered to half-staff the proper way to indicate mourning is by tying a black bow above a full-staffed US flag. This black mourning bow measures 16"" and is available for immediate shipping."
Mozambique-Flag-2X3,"Our world flags conform to all official specifications. Emblems and designs are executed with the highest possible degree of accuracy in regard to detail, color shades, placement and proportion to flag size. Ideal for indoor or outdoor display, our world flags are made of Nyl-Glo 100% heavyweight nylon, specially treated to minimize sun and chemical deterioration. Our world flags are extremely durable, fast-drying, and boast brilliant, fast colors. These flags are also finished with strong canvas headings and large grommets."
Mozambique-Flag-3X5,"Our world flags conform to all official specifications. Emblems and designs are executed with the highest possible degree of accuracy in regard to detail, color shades, placement and proportion to flag size. Ideal for indoor or outdoor display, our world flags are made of Nyl-Glo 100% heavyweight nylon, specially treated to minimize sun and chemical deterioration. Our world flags are extremely durable, fast-drying, and boast brilliant, fast colors. These flags are also finished with strong canvas headings and large grommets."
Mozambique-Flag-4X6,"Our world flags conform to all official specifications. Emblems and designs are executed with the highest possible degree of accuracy in regard to detail, color shades, placement and proportion to flag size. Ideal for indoor or outdoor display, our world flags are made of Nyl-Glo 100% heavyweight nylon, specially treated to minimize sun and chemical deterioration. Our world flags are extremely durable, fast-drying, and boast brilliant, fast colors. These flags are also finished with strong canvas headings and large grommets."
Mozambique-Flag-5X8,"Our world flags conform to all official specifications. Emblems and designs are executed with the highest possible degree of accuracy in regard to detail, color shades, placement and proportion to flag size. Ideal for indoor or outdoor display, our world flags are made of Nyl-Glo 100% heavyweight nylon, specially treated to minimize sun and chemical deterioration. Our world flags are extremely durable, fast-drying, and boast brilliant, fast colors. These flags are also finished with strong canvas headings and large grommets."
MSindoor,"This Mississippi State Flag set comes with everything you need to create the perfect display in minutes and is available in two sizes. The standard size includes an 8-foot pole with a 3' X 5' flag, while larger spaces and those with higher ceilings require a 9-foot pole and a 4' X 6' flag. This set features a premium Nyl-Glo state flag, available fringed or unfringed. The set comes complete with a 2-piece oak pole joined with brass fittings, topped with a gold gilded spear, which fits neatly into our best-selling Liberty stand. The set is finished with a gold cord and tassel to create the perfect look for any lobby, board room, school or church. This is a good quality flag display set designed to impress and designed to last.<p><b>This great flag set is on sale now!</b>"
MTindoor,"This Montana State Flag set comes with everything you need to create the perfect display in minutes and is available in two sizes. The standard size includes an 8-foot pole with a 3' X 5' flag, while larger spaces and those with higher ceilings require a 9-foot pole and a 4' X 6' flag. This set features a premium Nyl-Glo state flag, available fringed or unfringed. The set comes complete with a 2-piece oak pole joined with brass fittings, topped with a gold gilded spear, which fits neatly into our best-selling Liberty stand. The set is finished with a gold cord and tassel to create the perfect look for any lobby, board room, school or church. This is a good quality flag display set designed to impress and designed to last.<p><b>This great flag set is on sale now!</b>"
R4363,"This MultiCam Operator Tactical Cap features a 65 Poly / 35 Cotton Rip Stop MultiCam Fabric that is made in America. The tactical cap features an embroidered U.S Flag that has been designed to match the MultiCam fabric. The hat features 4 reinforced air vent holes, adjustment strap & plastic buckle which allows for the hat to fit most head sizes. In addition to the embroidery, the cap features two loop patches: one on top measuring 1.25"" x 1"" which is ideal for an IR tag and on loop patch on the back measuring 3.75"" x 1""."
Myanmar-Flag-2X3,"Our world flags conform to all official specifications. Emblems and designs are executed with the highest possible degree of accuracy in regard to detail, color shades, placement and proportion to flag size. Ideal for indoor or outdoor display, our world flags are made of Nyl-Glo 100% heavyweight nylon, specially treated to minimize sun and chemical deterioration. Our world flags are extremely durable, fast-drying, and boast brilliant, fast colors. These flags are also finished with strong canvas headings and large grommets."
Myanmar-Flag-3X5,"Our world flags conform to all official specifications. Emblems and designs are executed with the highest possible degree of accuracy in regard to detail, color shades, placement and proportion to flag size. Ideal for indoor or outdoor display, our world flags are made of Nyl-Glo 100% heavyweight nylon, specially treated to minimize sun and chemical deterioration. Our world flags are extremely durable, fast-drying, and boast brilliant, fast colors. These flags are also finished with strong canvas headings and large grommets."
Myanmar-Flag-4X6,"Our world flags conform to all official specifications. Emblems and designs are executed with the highest possible degree of accuracy in regard to detail, color shades, placement and proportion to flag size. Ideal for indoor or outdoor display, our world flags are made of Nyl-Glo 100% heavyweight nylon, specially treated to minimize sun and chemical deterioration. Our world flags are extremely durable, fast-drying, and boast brilliant, fast colors. These flags are also finished with strong canvas headings and large grommets."
Myanmar-Flag-5X8,"Our world flags conform to all official specifications. Emblems and designs are executed with the highest possible degree of accuracy in regard to detail, color shades, placement and proportion to flag size. Ideal for indoor or outdoor display, our world flags are made of Nyl-Glo 100% heavyweight nylon, specially treated to minimize sun and chemical deterioration. Our world flags are extremely durable, fast-drying, and boast brilliant, fast colors. These flags are also finished with strong canvas headings and large grommets."
WH00750,"The Whitehall Patriotic Wall Eagle is an excellent home accent that exudes a sense of patriotism. Intricately crafted with rust-free, aluminum and finished with high-quality paint, it is built to last a lifetime. This majestic eagle has a wingspan of 24"" and is 8 1/2 inches wide. This product is proudly Made in America!"
Namibia-Flag-2X3,"Our world flags conform to all official specifications. Emblems and designs are executed with the highest possible degree of accuracy in regard to detail, color shades, placement and proportion to flag size. Ideal for indoor or outdoor display, our world flags are made of Nyl-Glo 100% heavyweight nylon, specially treated to minimize sun and chemical deterioration. Our world flags are extremely durable, fast-drying, and boast brilliant, fast colors. These flags are also finished with strong canvas headings and large grommets."
Namibia-Flag-3X5,"Our world flags conform to all official specifications. Emblems and designs are executed with the highest possible degree of accuracy in regard to detail, color shades, placement and proportion to flag size. Ideal for indoor or outdoor display, our world flags are made of Nyl-Glo 100% heavyweight nylon, specially treated to minimize sun and chemical deterioration. Our world flags are extremely durable, fast-drying, and boast brilliant, fast colors. These flags are also finished with strong canvas headings and large grommets."
Namibia-Flag-4X6,"Our world flags conform to all official specifications. Emblems and designs are executed with the highest possible degree of accuracy in regard to detail, color shades, placement and proportion to flag size. Ideal for indoor or outdoor display, our world flags are made of Nyl-Glo 100% heavyweight nylon, specially treated to minimize sun and chemical deterioration. Our world flags are extremely durable, fast-drying, and boast brilliant, fast colors. These flags are also finished with strong canvas headings and large grommets."
Namibia-Flag-5X8,"Our world flags conform to all official specifications. Emblems and designs are executed with the highest possible degree of accuracy in regard to detail, color shades, placement and proportion to flag size. Ideal for indoor or outdoor display, our world flags are made of Nyl-Glo 100% heavyweight nylon, specially treated to minimize sun and chemical deterioration. Our world flags are extremely durable, fast-drying, and boast brilliant, fast colors. These flags are also finished with strong canvas headings and large grommets."
PTSV523,"This Navy Pin Up vintage metal sign measures 8 inches by 14 inches and was hand-crafted in the USA using heavy gauge american steel and a process known as sublimation, where the image is baked into a powder coating for a durable and long lasting finish. A vintaging process done by hand gives this vintage steel sign a more retro and nostalgic look and feel. This Navy Pin-Up sign is drilled and riveted for easy hanging."
R9193,"This deluxe hooded sweatshirt features a soft polyester/cotton blend lined with cozy fleece, roomy pockets and a drawstring. "
SPCM202,"These Navy service medallions are 2 1/2<li> in diameter, made of solid top-quality brass and are lacquer-coated with an antique finish."
R60030,This handsome navy blue Navy Seals t-shirt comes in several popular sizes and features the famous Navy Seals logo cast in golden thread.
Nauru-Flag-2X3,"Our world flags conform to all official specifications. Emblems and designs are executed with the highest possible degree of accuracy in regard to detail, color shades, placement and proportion to flag size. Ideal for indoor or outdoor display, our world flags are made of Nyl-Glo 100% heavyweight nylon, specially treated to minimize sun and chemical deterioration. Our world flags are extremely durable, fast-drying, and boast brilliant, fast colors. These flags are also finished with strong canvas headings and large grommets."
Nauru-Flag-3X5,"Our world flags conform to all official specifications. Emblems and designs are executed with the highest possible degree of accuracy in regard to detail, color shades, placement and proportion to flag size. Ideal for indoor or outdoor display, our world flags are made of Nyl-Glo 100% heavyweight nylon, specially treated to minimize sun and chemical deterioration. Our world flags are extremely durable, fast-drying, and boast brilliant, fast colors. These flags are also finished with strong canvas headings and large grommets."
Nauru-Flag-4X6,"Our world flags conform to all official specifications. Emblems and designs are executed with the highest possible degree of accuracy in regard to detail, color shades, placement and proportion to flag size. Ideal for indoor or outdoor display, our world flags are made of Nyl-Glo 100% heavyweight nylon, specially treated to minimize sun and chemical deterioration. Our world flags are extremely durable, fast-drying, and boast brilliant, fast colors. These flags are also finished with strong canvas headings and large grommets."
Nauru-Flag-5X8,"Our world flags conform to all official specifications. Emblems and designs are executed with the highest possible degree of accuracy in regard to detail, color shades, placement and proportion to flag size. Ideal for indoor or outdoor display, our world flags are made of Nyl-Glo 100% heavyweight nylon, specially treated to minimize sun and chemical deterioration. Our world flags are extremely durable, fast-drying, and boast brilliant, fast colors. These flags are also finished with strong canvas headings and large grommets."
VG6200544,This handsome US Navy Veteran's Lapel Pin comes with a secure clutch back and is on sale now!
EF070261,"Demonstrate your military pride with this great flag! This handsome flag is made of good quality polyester and measures 3' X 5'. It is finished with a sturdy canvas header for added durability and features two brass grommets for easy display.  AmericanFlags.com is proud to support our U.S. military, both active duty and retired."
TTNAVYBANNER,"These handsome US Navy garden banners are made of 100% all-weather polyester. They measure 28"" X 40"" and are printed in bright, durable colorfast ink. Side stitching is reinforced and a pole sleeve maximizes display options. This Navy banner is on sale right now!"
R9290,"This supreme low profile Navy cap is manufactured from comfortable brushed cotton twill. It features a padded sweatband, T-sliding adjustable metal buckle and embroidered insignia. In-stock and ready to ship!"
R9393,"This Deluxe Navy Low Profile Cap Insignia Cap Features A 100% Brushed Cotton Twill With Raised 3-D Embroidered ""Navy"" Text On The Front Panel & Brim. The Cap Features A Sandwich Bill & Back Strap Insignia With Adjustable Hook & Loop Closure."
Navymounted,"These handsome indoor Navy flag sets are crafted with respect, honor and gratitude. Each comes with a 3' X 5' Single-Reverse Colonial Nyl-Glo Navy Flag finished with a flannel pole sleeve and gold fringe. The sturdy oak pole is topped with a spear ornament and anchored firmly in a liberty style floor stand. A gold cord and tassle finishes this beautiful set, creating the perfect addition to any lobby, office, auditorium, church or school."
EF230014,"This handsome fully embroidered Navy patch measures 3"" in diameter and features a rich gold border. "
WC35552115,"This Premium US Navy Pennant is crafted in soft felt, measures 12"" x 30"" and boast full, bright colors. Perfect for any room and a great way to show your Navy pride!"
NCindoor,"This North Carolina State Flag set comes with everything you need to create the perfect display in minutes and is available in two sizes. The standard size includes an 8-foot pole with a 3' X 5' flag, while larger spaces and those with higher ceilings require a 9-foot pole and a 4' X 6' flag. This set features a premium Nyl-Glo state flag, available fringed or unfringed. The set comes complete with a 2-piece oak pole joined with brass fittings, topped with a gold gilded spear, which fits neatly into our best-selling Liberty stand. The set is finished with a gold cord and tassel to create the perfect look for any lobby, board room, school or church. This is a good quality flag display set designed to impress and designed to last.<p><b>This great flag set is on sale now!</b>"
NDindoor,"This North Dakota State Flag set comes with everything you need to create the perfect display in minutes and is available in two sizes. The standard size includes an 8-foot pole with a 3' X 5' flag, while larger spaces and those with higher ceilings require a 9-foot pole and a 4' X 6' flag. This set features a premium Nyl-Glo state flag, available fringed or unfringed. The set comes complete with a 2-piece oak pole joined with brass fittings, topped with a gold gilded spear, which fits neatly into our best-selling Liberty stand. The set is finished with a gold cord and tassel to create the perfect look for any lobby, board room, school or church. This is a good quality flag display set designed to impress and designed to last.<p><b>This great flag set is on sale now and ready to ship!</b>"
EF022391a,"Beautifully printed on silk-like material, these premium classroom-flags offer the highest quality in a mounted flag. Each is carefully hem-stitched on all four sides for longer lasting beauty. These flags are mounted on a black wood staff with a gold plastic spear. All are are made in America and meet official requirements for classroom-flags. Bracket sold seperately."
Nebraska-State-Flag-2X3,"Ideal for outdoor or indoor display, these state flags are made of Nyl-Glo 100% heavyweight nylon, a 200 denier bunting specially treated to minimize deterioration due to sun, wind and rain. America's first choice for flags, they are extremely durable, fast drying, and boast brilliant, fast colors. These flags are finished with strong canvas headings, reinforced stitching and heavy duty brass grommets. They come with a 1-year colorfast guarantee and will absolutely exceed your expectations. <b>These flags are Made in America and are on sale now!</b>"
Nebraska-State-Flag-3X5,"Ideal for outdoor or indoor display, these state flags are made of Nyl-Glo 100% heavyweight nylon, a 200 denier bunting specially treated to minimize deterioration due to sun, wind and rain. America's first choice for flags, they are extremely durable, fast drying, and boast brilliant, fast colors. These flags are finished with strong canvas headings, reinforced stitching and heavy duty brass grommets. They come with a 1-year colorfast guarantee and will absolutely exceed your expectations. <b>These flags are Made in America and are on sale now!</b>"
Nebraska-State-Flag-4X6,"Ideal for outdoor or indoor display, these state flags are made of Nyl-Glo 100% heavyweight nylon, a 200 denier bunting specially treated to minimize deterioration due to sun, wind and rain. America's first choice for flags, they are extremely durable, fast drying, and boast brilliant, fast colors. These flags are finished with strong canvas headings, reinforced stitching and heavy duty brass grommets. They come with a 1-year colorfast guarantee and will absolutely exceed your expectations. <b>These flags are Made in America and are on sale now!</b>"
Nebraska-State-Flag-5X8,"Ideal for outdoor or indoor display, these state flags are made of Nyl-Glo 100% heavyweight nylon, a 200 denier bunting specially treated to minimize deterioration due to sun, wind and rain. America's first choice for flags, they are extremely durable, fast drying, and boast brilliant, fast colors. These flags are finished with strong canvas headings, reinforced stitching and heavy duty brass grommets. They come with a 1-year colorfast guarantee and will absolutely exceed your expectations. <b>These flags are Made in America and are on sale now!</b>"
Nebraska-State-Flag-6X10,"Ideal for outdoor or indoor display, these state flags are made of Nyl-Glo 100% heavyweight nylon, a 200 denier bunting specially treated to minimize deterioration due to sun, wind and rain. America's first choice for flags, they are extremely durable, fast drying, and boast brilliant, fast colors. These flags are finished with strong canvas headings, reinforced stitching and heavy duty brass grommets. They come with a 1-year colorfast guarantee and will absolutely exceed your expectations. <b>These flags are Made in America and are on sale now!</b>"
nebraska-state-flag-indoor35,"Our 100% nylon taffeta state flags are manufactured with premium material to give each flag a full, rich, lustrous sheen. All the state flags featured on AmericanFlags.com are designed to official state flag specifications and are finished with heavy duty color matched thread, flannel lined pole hems with velcro mounting tabs, and luxurious golden rayon fringe.  This beautiful flag is the perfect addition to any office, lobby, school or church and is exceptionally weather resistant when used outdoors in parades or events.  Whatever your use, this state flag will look elegant for years. <b>These state flags are Made in America and are on sale now!</b>"
nebraska-state-flag-indoor46,"Our 100% nylon taffeta state flags are manufactured with premium material to give each flag a full, rich, lustrous sheen. All the state flags featured on AmericanFlags.com are designed to official state flag specifications and are finished with heavy duty color matched thread, flannel lined pole hems with velcro mounting tabs, and luxurious golden rayon fringe.  This beautiful flag is the perfect addition to any office, lobby, school or church and is exceptionally weather resistant when used outdoors in parades or events.  Whatever your use, this state flag will look elegant for years. <b>These state flags are Made in America and are on sale now!</b>"
EF022391,"Beautifully printed on silk-like material, these flags offer the highest quality in a mounted flag. Each is carefully hem-stitched on all four sides for longer lasting beauty. These flags are mounted on a black wood staff with a gold plastic spear. All are are made in America and ready to ship!"
EF020962,"Beautifully printed on silk-like material, these flags offer the highest quality in a mounted flag. Each is carefully hem-stitched on all four sides for longer lasting beauty. These flags are mounted on a 10"" black plastic staff with a gold plastic spear. All are made in America and ready to ship!"
EF020963,"Beautifully printed on silk-like material, these flags offer the highest quality in a mounted flag. Each is carefully hem-stitched on all four sides for longer lasting beauty. These flags are mounted on a 18"" black wood staff with a gold plastic spear. All are made in America and ready to ship!"
CFFOU1,Our Newfoundland flags are on sale right now. These Newfoundland flags are acid-dyed on 100% heavyweight nylon and finished with heavy brass grommets for easy display indoors or outdoors. Our Newfoundland flags come in 5 popular sizes from 2' X 3' to 6' X 10'. These Newfoundland flags are in-stock and ready to ship today!
NEindoor,"This Nebraska State Flag set comes with everything you need to create the perfect display in minutes and is available in two sizes. The standard size includes an 8-foot pole with a 3' X 5' flag, while larger spaces and those with higher ceilings require a 9-foot pole and a 4' X 6' flag. This set features a premium Nyl-Glo state flag, available fringed or unfringed. The set comes complete with a 2-piece oak pole joined with brass fittings, topped with a gold gilded spear, which fits neatly into our best-selling Liberty stand. The set is finished with a gold cord and tassel to create the perfect look for any lobby, board room, school or church. This is a good quality flag display set designed to impress and designed to last.<p><b>This great flag set is on sale now!</b>"
Nepal-Flag-2X3,"Our world flags conform to all official specifications. Emblems and designs are executed with the highest possible degree of accuracy in regard to detail, color shades, placement and proportion to flag size. Ideal for indoor or outdoor display, our world flags are made of Nyl-Glo 100% heavyweight nylon, specially treated to minimize sun and chemical deterioration. Our world flags are extremely durable, fast-drying, and boast brilliant, fast colors. These flags are also finished with strong canvas headings and large grommets."
Nepal-Flag-3X5,"Our world flags conform to all official specifications. Emblems and designs are executed with the highest possible degree of accuracy in regard to detail, color shades, placement and proportion to flag size. Ideal for indoor or outdoor display, our world flags are made of Nyl-Glo 100% heavyweight nylon, specially treated to minimize sun and chemical deterioration. Our world flags are extremely durable, fast-drying, and boast brilliant, fast colors. These flags are also finished with strong canvas headings and large grommets."
Nepal-Flag-4X6,"Our world flags conform to all official specifications. Emblems and designs are executed with the highest possible degree of accuracy in regard to detail, color shades, placement and proportion to flag size. Ideal for indoor or outdoor display, our world flags are made of Nyl-Glo 100% heavyweight nylon, specially treated to minimize sun and chemical deterioration. Our world flags are extremely durable, fast-drying, and boast brilliant, fast colors. These flags are also finished with strong canvas headings and large grommets."
